1;DULCES;Productos azucarados como chocolates, caramelos, gomitas y chicles.
2;FRITURAS;Snacks salados: papas fritas, choclitos, nachos, y otros productos similares.
3;BEBIDAS NO ALCOHÓLICAS;Refrescos, jugos, aguas embotelladas, tés y bebidas energéticas.
4;LICORES;Bebidas alcohólicas: whisky, vodka, ron, cervezas artesanales, etc.
5;PRODUCTOS DE LIMPIEZA;Detergentes, desinfectantes, jabones para ropa, limpiadores multiusos.
6;ENLATADOS;Alimentos en conserva: atún, frijoles, vegetales, sopas y frutas en lata.
7;CUIDADO PERSONAL;Artículos de higiene: jabones, shampoos, pasta dental y pañales.
8;PANADERÍA;Productos horneados empaquetados: pan de caja, galletas, pasteles.
9;LÁCTEOS;Leche, yogur, quesos, mantequilla y otros productos derivados de la leche.
11;PASTAS Y ARROCES;Fideos, macarrones, arroz blanco, integral y otras variedades.
12;CEREALES;Cereales de desayuno: hojuelas, granola, avena y similares.
13;CONDIMENTOS Y SALSAS;Mayonesa, mostaza, salsas de tomate, soya, picantes y vinagretas.
15;BEBIDAS ALCOHÓLICAS ARTESANALES;Cervezas y licores producidos artesanalmente, de origen local o importado.
16;HIGIENE DEL HOGAR;Papel higiénico, servilletas, toallas de cocina, esponjas, guantes.
17;PRODUCTOS RELIGIOSOS;Velas, inciensos, imágenes religiosas, biblias y artículos devocionales.
18;DESECHABLES;Vasos, platos, cubiertos y otros utensilios de un solo uso.
